Index,OWGR,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
80,0,900+,Mike Weir,1,available,T29,E,E,F,72.0,--,--,--,72.0
38,3.0165,38,Henrik Stenson,3,available,T58,+2,+2,F,74.0,--,--,--,74.0
59,1.7435,78,Danny Willett,2,available,T63,+3,+3,F,75.0,--,--,--,75.0
86,0,900+,Fred Couples,1,available,T80,+6,+6,F,78.0,--,--,--,78.0
84,0,900+,Jose Maria Olazabal,1,available,T80,+6,+6,F,78.0,--,--,--,78.0
52,2.3356,54,Kevin Na,2,available,T21,-1,-1,F,71.0,--,--,--,71.0
19,4.2595,19,Louis Oosthuizen,4,available,T21,-1,-1,F,71.0,--,--,--,71.0
68,1.1533,128,Andrew Landry,1,available,T29,E,E,F,72.0,--,--,--,72.0
22,4.055,22,Phil Mickelson,4,available,3,-5,-5,F,67.0,--,--,--,67.0
54,2.1387,60,Keith Mitchell,2,available,T29,E,E,F,72.0,--,--,--,72.0
5,8.1493,5,Justin Thomas,6,available,T44,+1,+1,F,73.0,--,--,--,73.0
61,1.5977,87,Zach Johnson,1,available,T58,+2,+2,F,74.0,--,--,--,74.0
40,2.9623,40,Eddie Pepperell,3,available,T58,+2,+2,F,74.0,--,--,--,74.0
55,1.9833,66,Charley Hoffman,2,available,T21,-1,-1,F,71.0,--,--,--,71.0
14,4.9852,14,Jason Day,5,available,T11,-2,-2,F,70.0,--,--,--,70.0
8,5.9371,8,Jon Rahm,5,available,T6,-3,-3,F,69.0,--,--,--,69.0
76,0,900+,Angel Cabrera,1,available,87,+10,+10,F,82.0,--,--,--,82.0
24,3.9001,24,Gary Woodland,4,available,T11,-2,-2,F,70.0,--,--,--,70.0
43,2.6765,43,Lucas Bjerregaard,3,available,T11,-2,-2,F,70.0,--,--,--,70.0
82,0,900+,Kevin O'Connell (a),1,available,T77,+5,+5,F,77.0,--,--,--,77.0
79,0,900+,Sandy Lyle,1,available,T44,+1,+1,F,73.0,--,--,--,73.0
66,1.3266,104,Charl Schwartzel,1,available,T77,+5,+5,F,77.0,--,--,--,77.0
16,4.7489,16,Matt Kuchar,5,available,T21,-1,-1,F,71.0,--,--,--,71.0
53,2.1577,59,Emiliano Grillo,2,available,T29,E,E,F,72.0,--,--,--,72.0
31,3.2687,33,Jordan Spieth,4,available,T63,+3,+3,F,75.0,--,--,--,75.0
3,8.4704,3,Rory McIlroy,6,available,T44,+1,+1,F,73.0,--,--,--,73.0
57,1.9589,68,Satoshi Kodaira,2,available,T63,+3,+3,F,75.0,--,--,--,75.0
75,0,900+,Devon Bling (a),1,available,T58,+2,+2,F,74.0,--,--,--,74.0
1,9.5506,1,Justin Rose,7,available,T63,+3,+3,F,75.0,--,--,--,75.0
60,1.6284,84,Corey Conners,1,available,T11,-2,-2,F,70.0,--,--,--,70.0
85,0,900+,Ian Woosnam,1,available,T84,+8,+8,F,80.0,--,--,--,80.0
7,7.115,7,Francesco Molinari,6,available,T11,-2,-2,F,70.0,--,--,--,70.0
30,3.4117,30,Alex Noren,4,available,,,,,,,,,
37,3.0598,37,Tyrrell Hatton,3,available,T44,+1,+1,F,73.0,--,--,--,73.0
69,0.8763,190,Martin Kaymer,1,available,T44,+1,+1,F,73.0,--,--,--,73.0
32,3.3228,31,Rafa Cabrera Bello,3,available,,,,,,,,,
72,0.3359,480,Vijay Singh,1,available,T84,+8,+8,F,80.0,--,--,--,80.0
9,5.9279,9,Rickie Fowler,5,available,T11,-2,-2,F,70.0,--,--,--,70.0
74,0.1452,835,Bernhard Langer,1,available,T21,-1,-1,F,71.0,--,--,--,71.0
65,1.341,102,Jimmy Walker,1,available,T29,E,E,F,72.0,--,--,--,72.0
35,3.1547,35,Matthew Fitzpatrick,3,available,T80,+6,+6,F,78.0,--,--,--,78.0
78,0,900+,Si-Woo Kim,1,available,,,,,,,,,
50,2.4549,50,Shane Lowry,2,available,T80,+6,+6,F,78.0,--,--,--,78.0
21,4.0841,21,Patrick Cantlay,4,available,T44,+1,+1,F,73.0,--,--,--,73.0
48,2.4947,48,Kyle Stanley,2,available,T29,E,E,F,72.0,--,--,--,72.0
28,3.4601,28,Cameron Smith,4,available,T11,-2,-2,F,70.0,--,--,--,70.0
4,8.3206,4,Brooks Koepka,6,available,T1,-6,-6,F,66.0,--,--,--,66.0
71,0.3572,461,Trevor Immelman,1,available,T58,+2,+2,F,74.0,--,--,--,74.0
18,4.3582,18,Patrick Reed,5,available,T44,+1,+1,F,73.0,--,--,--,73.0
10,5.8232,10,Xander Schauffele,5,available,T44,+1,+1,F,73.0,--,--,--,73.0
39,2.9673,39,Haotong Li,3,available,,,,,,,,,
58,1.8,77,Shugo Imahira,2,available,T73,+4,+4,F,76.0,--,--,--,76.0
67,1.2614,108,Adam Long,1,available,T63,+3,+3,F,75.0,--,--,--,75.0
42,2.8025,42,Kiradech Aphibarnrat,3,available,T6,-3,-3,F,69.0,--,--,--,69.0
51,2.362,51,Thorbjorn Olsen,2,available,,,,,,,,,
41,2.8457,41,Billy Horschel,3,available,T29,E,E,F,72.0,--,--,--,72.0
11,5.5851,11,Paul Casey,5,available,86,+9,+9,F,81.0,--,--,--,81.0
13,5.0461,13,Tommy Fleetwood,5,available,T21,-1,-1,F,71.0,--,--,--,71.0
23,3.9062,23,Webb Simpson,4,available,T29,E,E,F,72.0,--,--,--,72.0
12,5.3045,12,Tiger Woods,5,available,T11,-2,-2,F,70.0,--,--,--,70.0
56,1.9648,67,Aaron Wise,2,available,T63,+3,+3,F,75.0,--,--,--,75.0
33,3.2963,32,Ian Poulter,3,available,T4,-4,-4,F,68.0,--,--,--,68.0
81,0,900+,Larry Mize,1,available,T77,+5,+5,F,77.0,--,--,--,77.0
63,1.3795,97,Patton Kizzire,1,available,T11,-2,-2,F,70.0,--,--,--,70.0
6,7.2486,6,Bryson DeChambeau,6,available,T1,-6,-6,F,66.0,--,--,--,66.0
45,2.6012,45,J.B. Holmes,3,available,T11,-2,-2,F,70.0,--,--,--,70.0
34,3.2165,34,Keegan Bradley,3,available,T73,+4,+4,F,76.0,--,--,--,76.0
25,3.7556,25,Kevin Kisner,4,available,T6,-3,-3,F,69.0,--,--,--,69.0
2,9.4147,2,Dustin Johnson,7,available,T4,-4,-4,F,68.0,--,--,--,68.0
49,2.4827,49,Justin Harding,2,available,T6,-3,-3,F,69.0,--,--,--,69.0
64,1.3726,98,Kevin Tway,1,available,T29,E,E,F,72.0,--,--,--,72.0
36,3.1199,36,Matt Wallace,3,available,T63,+3,+3,F,75.0,--,--,--,75.0
46,2.558,46,Charles Howell III,3,available,T44,+1,+1,F,73.0,--,--,--,73.0
20,4.2345,20,Marc Leishman,4,available,T29,E,E,F,72.0,--,--,--,72.0
77,0,900+,Viktor Hovland (a),1,available,T29,E,E,F,72.0,--,--,--,72.0
27,3.615,27,Sergio Garcia,4,available,T44,+1,+1,F,73.0,--,--,--,73.0
26,3.6277,26,Hideki Matsuyama,4,available,T63,+3,+3,F,75.0,--,--,--,75.0
87,0,900+,Alvaro Ortiz (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
83,0,900+,Jovan Rebula (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
15,4.857,15,Tony Finau,5,available,T21,-1,-1,F,71.0,--,--,--,71.0
17,4.5418,17,Bubba Watson,5,available,T29,E,E,F,72.0,--,--,--,72.0
29,3.4593,29,Adam Scott,4,available,T6,-3,-3,F,69.0,--,--,--,69.0
44,2.6669,44,Branden Grace,3,available,T29,E,E,F,72.0,--,--,--,72.0
62,1.4009,96,Stewart Cink,1,available,T73,+4,+4,F,76.0,--,--,--,76.0
73,0.264,500,Takumi Kanaya (a),1,available,T44,+1,+1,F,73.0,--,--,--,73.0
70,0.511,330,Michael Kim,1,available,T73,+4,+4,F,76.0,--,--,--,76.0
47,2.5072,47,Brandt Snedeker,2,available,T63,+3,+3,F,75.0,--,--,--,75.0
