,PLAYER,TEE TIME,playerSalary
0,Charl Schwartzel,7:40 AM,NaN
1,Thorbjorn Olesen,7:40 AM,NaN
2,Tyrrell Hatton,7:40 AM,NaN
3,Michael Thompson,7:40 AM,NaN
4,Chesson Hadley,7:40 AM,NaN
5,Corey Conners,7:40 AM,NaN
6,Talor Gooch,7:50 AM,NaN
7,Louis Oosthuizen,7:50 AM,NaN
8,Lucas Glover,7:50 AM,NaN
9,Beau Hossler,7:50 AM,NaN
10,Byeong-Hun An,7:50 AM,NaN
11,Scott Brown,7:50 AM,NaN
12,Brian Gay,8:01 AM,NaN
13,Chris Kirk,8:01 AM,NaN
14,Matt Wallace,8:01 AM,NaN
15,Ryan Palmer,8:01 AM,NaN
16,Trey Mullinax,8:01 AM,NaN
17,Sung-jae Im,8:01 AM,NaN
18,Aaron Wise,8:11 AM,NaN
19,Charles Howell III,8:11 AM,NaN
20,Scott Piercy,8:11 AM,NaN
21,Brendan Steele,8:11 AM,NaN
22,Patton Kizzire,8:11 AM,NaN
23,Ted Potter Jr.,8:11 AM,NaN
24,Vijay Singh,8:22 AM,NaN
25,Danny Willett,8:22 AM,NaN
26,Adam Long,8:22 AM,NaN
27,Austin Cook,8:22 AM,NaN
28,Keith Mitchell,8:22 AM,NaN
29,Tommy Fleetwood,8:22 AM,NaN
30,Michael Kim,8:32 AM,NaN
31,Cameron Champ,8:32 AM,NaN
32,Cameron Smith,8:32 AM,NaN
33,Justin Thomas,8:32 AM,NaN
34,Xander Schauffele,8:32 AM,NaN
35,Justin Rose,8:32 AM,NaN
36,Ian Poulter,8:43 AM,NaN
37,Marc Leishman,8:43 AM,NaN
38,Adam Hadwin,8:43 AM,NaN
39,Bubba Watson,8:43 AM,NaN
40,Billy Horschel,8:43 AM,NaN
41,Bryson DeChambeau,8:43 AM,NaN
42,Grayson Murray,8:53 AM,NaN
43,Brian Harman,8:53 AM,NaN
44,Kevin Tway,8:53 AM,NaN
45,Jon Rahm,8:53 AM,NaN
46,Dustin Johnson,8:53 AM,NaN
47,Sergio Garcia,8:53 AM,NaN
48,Brice Garnett,9:04 AM,NaN
49,Ryan Armour,9:04 AM,NaN
50,Patrick Cantlay,9:04 AM,NaN
51,Matt Kuchar,9:04 AM,NaN
52,Phil Mickelson,9:04 AM,NaN
53,Rory McIlroy,9:04 AM,NaN
54,Ollie Schniederjans,9:14 AM,NaN
55,Abraham Ancer,9:14 AM,NaN
56,Seamus Power,9:14 AM,NaN
57,Harold Varner III,9:14 AM,NaN
58,Sam Ryder,9:14 AM,NaN
59,Li Haotong,9:14 AM,NaN
60,Harris English,9:25 AM,NaN
61,Peter Uihlein,9:25 AM,NaN
62,Kevin Streelman,9:25 AM,NaN
63,Brandon Harkins,9:25 AM,NaN
64,Tom Hoge,9:25 AM,NaN
65,Alex Cejka,9:25 AM,NaN
66,Nick Watney,9:35 AM,NaN
67,Bronson Burgoon,9:35 AM,NaN
68,Eddie Pepperell,9:35 AM,NaN
69,Rory Sabbatini,9:35 AM,NaN
70,Scott Stallings,9:35 AM,NaN
71,Joel Dahmen,9:35 AM,NaN
72,Patrick Rodgers,12:35 PM,NaN
73,Brian Stuard,12:35 PM,NaN
74,Chez Reavie,12:35 PM,NaN
75,Kelly Kraft,12:35 PM,NaN
76,Charley Hoffman,12:35 PM,NaN
77,Luke List,12:35 PM,NaN
78,Danny Lee,12:45 PM,NaN
79,Jason Kokrak,12:45 PM,NaN
80,Scott Langley,12:45 PM,NaN
81,Nick Taylor,12:45 PM,NaN
82,Vaughn Taylor,12:45 PM,NaN
83,J.T. Poston,12:45 PM,NaN
84,Branden Grace,12:56 PM,NaN
85,John Huh,12:56 PM,NaN
86,Aaron Baddeley,12:56 PM,NaN
87,Richy Werenski,12:56 PM,NaN
88,Dominic Bozzelli,12:56 PM,NaN
89,Alexander Noren,12:56 PM,NaN
90,Jason Dufner,1:06 PM,NaN
91,J.B. Holmes,1:06 PM,NaN
92,Russell Henley,1:06 PM,NaN
93,Gary Woodland,1:06 PM,NaN
94,Russell Knox,1:06 PM,NaN
95,Andrew Putnam,1:06 PM,NaN
96,Troy Merritt,1:17 PM,NaN
97,Brandt Snedeker,1:17 PM,NaN
98,Jimmy Walker,1:17 PM,NaN
99,Keegan Bradley,1:17 PM,NaN
100,Andrew Landry,1:17 PM,NaN
101,Si Woo Kim,1:17 PM,NaN
102,Tiger Woods,1:27 PM,NaN
103,Webb Simpson,1:27 PM,NaN
104,Patrick Reed,1:27 PM,NaN
105,Kevin Kisner,1:27 PM,NaN
106,Kyle Stanley,1:27 PM,NaN
107,Daniel Berger,1:27 PM,NaN
108,Martin Kaymer,1:38 PM,NaN
109,Adam Scott,1:38 PM,NaN
110,Henrik Stenson,1:38 PM,NaN
111,Hideki Matsuyama,1:38 PM,NaN
112,Stewart Cink,1:38 PM,NaN
113,Zach Johnson,1:38 PM,NaN
114,Tony Finau,1:48 PM,NaN
115,Jason Day,1:48 PM,NaN
116,Francesco Molinari,1:48 PM,NaN
117,Jim Furyk,1:48 PM,NaN
118,Paul Casey,1:48 PM,NaN
119,Satoshi Kodaira,1:48 PM,NaN
120,Brooks Koepka,1:59 PM,NaN
121,Jordan Spieth,1:59 PM,NaN
122,Rickie Fowler,1:59 PM,NaN
123,Martin Trainer,1:59 PM,NaN
124,Kevin Na,1:59 PM,NaN
125,Jhonattan Vegas,1:59 PM,NaN
126,Sam Saunders,2:09 PM,NaN
127,Bud Cauley,2:09 PM,NaN
128,Matthew Fitzpatrick,2:09 PM,NaN
129,Martin Laird,2:09 PM,NaN
130,Shane Lowry,2:09 PM,NaN
131,Emiliano Grillo,2:09 PM,NaN
132,Tyler Duncan,2:20 PM,NaN
133,Sung Kang,2:20 PM,NaN
134,Rafael Cabrera Bello,2:20 PM,NaN
135,J.J. Spaun,2:20 PM,NaN
136,C.T. Pan,2:20 PM,NaN
137,Ryan Moore,2:20 PM,NaN
138,Ryan Blaum,2:30 PM,NaN
139,Anirban Lahiri,2:30 PM,NaN
140,Kiradech Aphibarnrat,2:30 PM,NaN
141,Denny McCarthy,2:30 PM,NaN
142,Wyndham Clark,2:30 PM,NaN
143,Lucas Bjerregaard,2:30 PM,NaN
