Index,OWGR_Rank,PLAYER,playerSalary,status,POS,TO PAR,TODAY,THRU,R1,R2,R3,R4,TOT
153,301+,Ashton Turner,1,available,T16,-2,-2,F,69,--,--,--,69
22,22,Louis Oosthuizen,4,available,T20,-1,-1,F,70,--,--,--,70
65,68,Ryan Palmer,2,available,T94,+3,+3,F,74,--,--,--,74
51,52,Kiradech Aphibarnrat,2,available,T3,-3,-3,F,68,--,--,--,68
70,73,Russell Knox,2,available,T20,-1,-1,F,70,--,--,--,70
41,42,Cameron Smith,3,available,T20,-1,-1,F,70,--,--,--,70
104,133,Patton Kizzire,1,available,T72,+2,+2,F,73,--,--,--,73
146,301+,Doyeob Mun,1,available,T94,+3,+3,F,74,--,--,--,74
6,6,Bryson DeChambeau,6,available,T94,+3,+3,F,74,--,--,--,74
138,301+,Miguel Angel Jimenez,1,available,152,+11,+11,F,82,--,--,--,82
155,301+,Andrew Wilson,1,available,T128,+5,+5,F,76,--,--,--,76
21,21,Bubba Watson,4,available,T54,+1,+1,F,72,--,--,--,72
110,150,Oliver Wilson,1,available,T72,+2,+2,F,73,--,--,--,73
59,62,Jorge Campillo,2,available,T128,+5,+5,F,76,--,--,--,76
20,20,Tommy Fleetwood,5,available,T3,-3,-3,F,68,--,--,--,68
129,301+,Isidro Benitez,1,available,T113,+4,+4,F,75,--,--,--,75
42,43,Tyrrell Hatton,3,available,T3,-3,-3,F,68,--,--,--,68
34,34,Rafael Cabrera Bello,3,available,T72,+2,+2,F,73,--,--,--,73
152,301+,Thomas Thurloway (a),1,available,T153,+12,+12,F,83,--,--,--,83
46,47,Alexander Noren,2,available,T3,-3,-3,F,68,--,--,--,68
33,33,Shane Lowry,3,available,2,-4,-4,F,67,--,--,--,67
120,229,Dimitrios Papadatos,1,available,T153,+12,+12,F,83,--,--,--,83
10,10,Patrick Cantlay,6,available,T20,-1,-1,F,70,--,--,--,70
86,92,Dylan Frittelli,1,available,T3,-3,-3,F,68,--,--,--,68
85,91,Brian Harman,1,available,T54,+1,+1,F,72,--,--,--,72
58,61,Sung-jae Im,2,available,T42,E,E,F,71,--,--,--,71
74,77,Andrea Pavan,2,available,T72,+2,+2,F,73,--,--,--,73
17,17,Tony Finau,5,available,T3,-3,-3,F,68,--,--,--,68
101,127,Yuta Ikeda,1,available,T128,+5,+5,F,76,--,--,--,76
27,27,Kevin Kisner,4,available,T20,-1,-1,F,70,--,--,--,70
16,16,Adam Scott,5,available,T144,+7,+7,F,78,--,--,--,78
35,35,Eddie Pepperell,3,available,T20,-1,-1,F,70,--,--,--,70
47,48,Jim Furyk,2,available,T72,+2,+2,F,73,--,--,--,73
134,301+,Ernie Els,1,available,T42,E,E,F,71,--,--,--,71
150,301+,Callum Shinkwin,1,available,T20,-1,-1,F,70,--,--,--,70
24,24,Marc Leishman,4,available,T144,+7,+7,F,78,--,--,--,78
81,85,Charley Hoffman,1,available,T20,-1,-1,F,70,--,--,--,70
1,1,Brooks Koepka,7,available,T3,-3,-3,F,68,--,--,--,68
32,31,Keegan Bradley,3,available,T72,+2,+2,F,73,--,--,--,73
111,170,Alexander Levy,1,available,T72,+2,+2,F,73,--,--,--,73
45,46,Andrew Putnam,2,available,T20,-1,-1,F,70,--,--,--,70
71,74,Luke List,2,available,T72,+2,+2,F,73,--,--,--,73
122,250,Chan Kim,1,available,T113,+4,+4,F,75,--,--,--,75
127,301+,Yosuke Asaji,1,available,T54,+1,+1,F,72,--,--,--,72
137,301+,Dong-Kyu Jang,1,available,T128,+5,+5,F,76,--,--,--,76
37,37,Henrik Stenson,3,available,T20,-1,-1,F,70,--,--,--,70
50,51,Lucas Bjerregaard,2,available,T20,-1,-1,F,70,--,--,--,70
19,19,Webb Simpson,5,available,T3,-3,-3,F,68,--,--,--,68
13,13,Matt Kuchar,5,available,T20,-1,-1,F,70,--,--,--,70
92,104,Romain Langasque,1,available,T16,-2,-2,F,69,--,--,--,69
118,196,Shubhankar Sharma,1,available,T20,-1,-1,F,70,--,--,--,70
36,36,Sergio Garcia,3,available,T3,-3,-3,F,68,--,--,--,68
12,12,Gary Woodland,5,available,T94,+3,+3,F,74,--,--,--,74
77,80,Joost Luiten,1,available,T72,+2,+2,F,73,--,--,--,73
133,301+,David Duval,1,available,156,+20,+20,F,91,--,--,--,91
115,187,Yoshinori Fujimoto,1,available,T113,+4,+4,F,75,--,--,--,75
52,53,Jazz Janewattananond,2,available,T94,+3,+3,F,74,--,--,--,74
116,191,Doc Redman,1,available,T42,E,E,F,71,--,--,--,71
97,111,Zach Johnson,1,available,T94,+3,+3,F,74,--,--,--,74
117,195,Mikumu Horikawa,1,available,T42,E,E,F,71,--,--,--,71
75,78,Lee Westwood,2,available,T3,-3,-3,F,68,--,--,--,68
94,106,Andy Sullivan,1,available,T128,+5,+5,F,76,--,--,--,76
57,60,Emiliano Grillo,2,available,T72,+2,+2,F,73,--,--,--,73
43,44,Brandt Snedeker,3,available,T94,+3,+3,F,74,--,--,--,74
87,93,Mikko Korhonen,1,available,T54,+1,+1,F,72,--,--,--,72
105,134,Stewart Cink,1,available,T94,+3,+3,F,74,--,--,--,74
106,140,Christiaan Bezuidenhout,1,available,T94,+3,+3,F,74,--,--,--,74
55,57,Kyle Stanley,2,available,T113,+4,+4,F,75,--,--,--,75
136,301+,Inn-choon Hwang,1,available,T54,+1,+1,F,72,--,--,--,72
26,26,Chez Reavie,4,available,T72,+2,+2,F,73,--,--,--,73
114,182,Chris Wood,1,available,T72,+2,+2,F,73,--,--,--,73
60,63,Thorbjorn Olesen,2,available,T54,+1,+1,F,72,--,--,--,72
79,83,Joel Dahmen,1,available,T128,+5,+5,F,76,--,--,--,76
69,72,Jason Kokrak,2,available,T94,+3,+3,F,74,--,--,--,74
112,178,Brandon Stone,1,available,T54,+1,+1,F,72,--,--,--,72
90,97,Graeme McDowell,1,available,T72,+2,+2,F,73,--,--,--,73
121,247,Robert Rock,1,available,T128,+5,+5,F,76,--,--,--,76
53,55,J.B. Holmes,2,available,1,-5,-5,F,66,--,--,--,66
14,14,Rickie Fowler,5,available,T20,-1,-1,F,70,--,--,--,70
91,100,Nate Lashley,1,available,T113,+4,+4,F,75,--,--,--,75
62,65,Si Woo Kim,2,available,T20,-1,-1,F,70,--,--,--,70
67,70,Aaron Wise,2,available,T54,+1,+1,F,72,--,--,--,72
40,41,Billy Horschel,3,available,T128,+5,+5,F,76,--,--,--,76
151,301+,James Sugrue (a),1,available,T42,E,E,F,71,--,--,--,71
49,50,Justin Harding,2,available,T42,E,E,F,71,--,--,--,71
2,2,Dustin Johnson,7,available,T54,+1,+1,F,72,--,--,--,72
18,18,Jason Day,5,available,T20,-1,-1,F,70,--,--,--,70
141,301+,Paul Lawrie,1,available,T113,+4,+4,F,75,--,--,--,75
93,105,Alexander Bjork,1,available,T140,+6,+6,F,77,--,--,--,77
113,180,Yuki Inamori,1,available,T20,-1,-1,F,70,--,--,--,70
30,30,Matthew Fitzpatrick,4,available,T42,E,E,F,71,--,--,--,71
68,71,Shugo Imahira,2,available,T153,+12,+12,F,83,--,--,--,83
140,301+,Curtis Knipes (a),1,available,T54,+1,+1,F,72,--,--,--,72
56,58,Abraham Ancer,2,available,T54,+1,+1,F,72,--,--,--,72
99,117,Jimmy Walker,1,available,T94,+3,+3,F,74,--,--,--,74
38,39,Ian Poulter,3,available,T113,+4,+4,F,75,--,--,--,75
15,15,Paul Casey,5,available,T54,+1,+1,F,72,--,--,--,72
149,301+,Jack Senior,1,available,T113,+4,+4,F,75,--,--,--,75
139,301+,Takumi Kanaya (a),1,available,T72,+2,+2,F,73,--,--,--,73
61,64,Adam Hadwin,2,available,T94,+3,+3,F,74,--,--,--,74
148,301+,Matthias Schmid (a),1,available,T128,+5,+5,F,76,--,--,--,76
23,23,Matt Wallace,4,available,T72,+2,+2,F,73,--,--,--,73
64,67,Branden Grace,2,available,T20,-1,-1,F,70,--,--,--,70
124,273,Prom Meesawat,1,available,T72,+2,+2,F,73,--,--,--,73
31,38,Jordan Spieth,4,available,T20,-1,-1,F,70,--,--,--,70
130,301+,Nino Bertasio,1,available,T54,+1,+1,F,72,--,--,--,72
132,301+,Austin Connelly,1,available,T113,+4,+4,F,75,--,--,--,75
76,79,Joaquin Niemann,2,available,T128,+5,+5,F,76,--,--,--,76
131,301+,Darren Clarke,1,available,T42,E,E,F,71,--,--,--,71
107,141,Sang-hyun Park,1,available,T16,-2,-2,F,69,--,--,--,69
96,108,Thomas Pieters,1,available,T54,+1,+1,F,72,--,--,--,72
7,7,Francesco Molinari,6,available,T94,+3,+3,F,74,--,--,--,74
82,87,Corey Conners,1,available,T54,+1,+1,F,72,--,--,--,72
109,149,Richard Sterne,1,available,T144,+7,+7,F,78,--,--,--,78
144,301+,Mike Lorenzo-Vera,1,available,T140,+6,+6,F,77,--,--,--,77
95,107,Ryan Fox,1,available,T3,-3,-3,F,68,--,--,--,68
11,11,Xander Schauffele,6,available,T94,+3,+3,F,74,--,--,--,74
98,112,Kurt Kitayama,1,available,T94,+3,+3,F,74,--,--,--,74
4,4,Justin Rose,6,available,T16,-2,-2,F,69,--,--,--,69
143,301+,Sam Locke,1,available,T113,+4,+4,F,75,--,--,--,75
48,49,C.T. Pan,2,available,T140,+6,+6,F,77,--,--,--,77
135,301+,Padraig Harrington,1,available,T113,+4,+4,F,75,--,--,--,75
83,88,Kevin Streelman,1,available,T140,+6,+6,F,77,--,--,--,77
72,75,Danny Willett,2,available,T94,+3,+3,F,74,--,--,--,74
39,40,Bernd Wiesberger,3,available,T20,-1,-1,F,70,--,--,--,70
8,8,Jon Rahm,6,available,T3,-3,-3,F,68,--,--,--,68
126,278,Gunn Charoenkul,1,available,T54,+1,+1,F,72,--,--,--,72
119,221,Andrew Johnston,1,available,T72,+2,+2,F,73,--,--,--,73
88,94,Benjamin Hebert,1,available,T72,+2,+2,F,73,--,--,--,73
28,28,Phil Mickelson,4,available,T128,+5,+5,F,76,--,--,--,76
125,276,Zander Lombard,1,available,T42,E,E,F,71,--,--,--,71
54,56,Byeong-Hun An,2,available,T72,+2,+2,F,73,--,--,--,73
29,29,Hideki Matsuyama,4,available,T42,E,E,F,71,--,--,--,71
142,301+,Tom Lehman,1,available,T144,+7,+7,F,78,--,--,--,78
100,123,Shaun Norris,1,available,T72,+2,+2,F,73,--,--,--,73
66,69,Sung Kang,2,available,T94,+3,+3,F,74,--,--,--,74
145,301+,Jake McLeod,1,available,T128,+5,+5,F,76,--,--,--,76
73,76,Lucas Glover,2,available,T54,+1,+1,F,72,--,--,--,72
128,301+,Matthew Baldwin,1,available,T144,+7,+7,F,78,--,--,--,78
102,128,Adri Arnaus,1,available,T113,+4,+4,F,75,--,--,--,75
63,66,Keith Mitchell,2,available,T113,+4,+4,F,75,--,--,--,75
147,301+,Garrick Porteous,1,available,T150,+8,+8,F,79,--,--,--,79
84,89,Rory Sabbatini,1,available,T20,-1,-1,F,70,--,--,--,70
9,9,Justin Thomas,6,available,T42,E,E,F,71,--,--,--,71
44,45,Li Haotong,3,available,T94,+3,+3,F,74,--,--,--,74
80,84,Erik van Rooyen,1,available,T20,-1,-1,F,70,--,--,--,70
108,146,Robert MacIntyre,1,available,T3,-3,-3,F,68,--,--,--,68
78,81,Tom Lewis,1,available,T113,+4,+4,F,75,--,--,--,75
156,301+,Brandon Wu (a),1,available,T72,+2,+2,F,73,--,--,--,73
89,95,Adrian Otaegui,1,available,T72,+2,+2,F,73,--,--,--,73
5,5,Tiger Woods,6,available,T144,+7,+7,F,78,--,--,--,78
3,3,Rory McIlroy,7,available,T150,+8,+8,F,79,--,--,--,79
103,130,David Lipsky,1,available,T94,+3,+3,F,74,--,--,--,74
25,25,Patrick Reed,4,available,T42,E,E,F,71,--,--,--,71
154,301+,Paul Waring,1,available,T113,+4,+4,F,75,--,--,--,75
123,255,Connor Syme,1,available,T54,+1,+1,F,72,--,--,--,72
